time_s,active_axle_count,total_vertical_load_n,micro_pressure_wave_pa
18.86,32,2720000.0,1.6122482373105116e-30
18.87,32,2720000.0,1.463648212612828e-30
18.88,32,2720000.0,1.328662550930764e-30
18.89,32,2720000.0,1.2060515570167175e-30
18.900000000000002,32,2720000.0,1.0946877160482184e-30
18.91,32,2720000.0,9.935456069848323e-31
18.92,32,2720000.0,9.016927169648011e-31
18.93,32,2720000.0,8.182810767862922e-31
18.94,32,2720000.0,7.425396445644483e-31
18.95,32,2720000.0,6.737673710865522e-31
18.96,32,2720000.0,6.113268862530438e-31
18.97,32,2720000.0,5.546387513463641e-31
18.98,32,2720000.0,5.0317622675124496e-31
18.990000000000002,32,2720000.0,4.564605092062714e-31
19.0,32,2720000.0,4.140563967287697e-31
19.01,32,2720000.0,3.75568343062219e-31
19.02,32,2720000.0,3.4063686687576754e-31
19.03,32,2720000.0,3.08935284027891e-31
19.04,32,2720000.0,2.8016673401846874e-31
19.05,32,2720000.0,2.5406147431673954e-31
19.06,32,2720000.0,2.3037441859043366e-31
19.07,32,2720000.0,2.0888289699302325e-31
19.080000000000002,32,2720000.0,1.8938461860891252e-31
19.09,32,2720000.0,1.716958179281073e-31
19.1,32,2720000.0,1.5564956883674185e-31
19.11,32,2720000.0,1.4109425108190889e-31
19.12,32,2720000.0,1.2789215551077652e-31
19.13,32,2720000.0,1.1591821560700167e-31
19.14,32,2720000.0,1.0505885396164756e-31
19.150000000000002,32,2720000.0,9.521093333156066e-32
19.16,32,2720000.0,8.628080286336756e-32
19.17,32,2720000.0,7.818343090458323e-32
19.18,32,2720000.0,7.084161659149724e-32
19.19,32,2720000.0,6.418527310336395e-32
19.2,32,2720000.0,5.815077611011867e-32
19.21,32,2720000.0,5.268037152152567e-32
19.22,32,2720000.0,4.7721637174819484e-32
19.23,32,2720000.0,4.322699357967911e-32
19.240000000000002,32,2720000.0,3.915325927821671e-32
19.25,32,2720000.0,3.5461246777401696e-32
19.26,32,2720000.0,3.211539537513688e-32
19.27,32,2720000.0,2.908343753277693e-32
19.28,32,2720000.0,2.63360957484022e-32
19.29,32,2720000.0,2.3846807160089498e-32
19.3,32,2720000.0,2.1591473358343197e-32
19.31,32,2720000.0,1.9548233114646333e-32
19.32,32,2720000.0,1.769725594026375e-32
19.330000000000002,32,2720000.0,1.602055457810985e-32
19.34,32,2720000.0,1.4501814702155695e-32
19.35,32,2720000.0,1.312624025511814e-32
19.36,32,2720000.0,1.1880412997375728e-32
19.37,32,2720000.0,1.0752164969427878e-32
19.38,32,2720000.0,9.730462687986642e-33
19.39,32,2720000.0,8.805302002889676e-33
19.400000000000002,32,2720000.0,7.967612639496655e-33
19.41,32,2720000.0,7.209171539904702e-33
19.42,32,2720000.0,6.522524196959054e-33
19.43,32,2720000.0,5.900913248424374e-33
19.44,32,2720000.0,5.3382136653953994e-33
19.45,32,2720000.0,4.828873929735021e-33
19.46,32,2720000.0,4.3678626505125574e-33
19.47,32,2720000.0,3.950620119622727e-33
19.48,32,2720000.0,3.5730143523995034e-33
19.490000000000002,32,2720000.0,3.231301200547358e-33
19.5,32,2720000.0,2.9220881624471537e-33
19.51,32,2720000.0,2.6423015501953894e-33
19.52,32,2720000.0,2.3891567039290662e-33
19.53,32,2720000.0,2.1601309723323518e-33
19.54,32,2720000.0,1.95293920399577e-33
19.55,32,2720000.0,1.765511517716143e-33
19.56,32,2720000.0,1.595973141116661e-33
19.57,32,2720000.0,1.4426261263078846e-33
19.580000000000002,32,2720000.0,1.3039327688951366e-33
19.59,32,2720000.0,1.1785005726060635e-33
19.6,32,2720000.0,1.065068616332549e-33
19.61,32,2720000.0,9.624951935648465e-34
19.62,32,2720000.0,8.697466061766719e-34
19.63,32,2720000.0,7.85887005404784e-34
19.64,32,2720000.0,7.100691827518902e-34
19.650000000000002,32,2720000.0,6.415262225215248e-34
19.66,32,2720000.0,5.795639358507417e-34
19.67,32,2720000.0,5.235540035122248e-34
19.68,32,2720000.0,4.729277614861025e-34
19.69,32,2720000.0,4.271705694082629e-34
19.7,32,2720000.0,3.858167075512595e-34
19.71,32,2720000.0,3.4844475302715436e-34
19.72,32,2720000.0,3.1467339047691743e-34
19.73,32,2720000.0,2.841576166597154e-34
19.740000000000002,32,2720000.0,2.565853021252106e-34
19.75,32,2720000.0,2.316740765716234e-34
19.76,32,2720000.0,2.0916850759743203e-34
19.77,32,2720000.0,1.8883754537239603e-34
19.78,32,2720000.0,1.7047220831069975e-34
19.79,32,2720000.0,1.5388348715007643e-34
19.8,32,2720000.0,1.3890044694648202e-34
19.81,32,2720000.0,1.2536850840481115e-34
19.82,32,2720000.0,1.1314789169996442e-34
19.830000000000002,32,2720000.0,1.0211220751541364e-34
19.84,32,2720000.0,9.214718145346682e-35
19.85,32,2720000.0,8.314949926578615e-35
19.86,32,2720000.0,7.502576152711956e-35
19.87,32,2720000.0,6.76915374398205e-35
19.88,32,2720000.0,6.107050842303144e-35
19.89,32,2720000.0,5.509369301612222e-35
19.900000000000002,32,2720000.0,4.969874542044408e-35
19.91,32,2720000.0,4.4829320723799116e-35
19.92,32,2720000.0,4.0434500505101906e-35
19.93,32,2720000.0,3.646827310895869e-35
19.94,32,2720000.0,3.2889063416670885e-35
19.95,32,2720000.0,2.9659307426949586e-35
19.96,32,2720000.0,2.674506740074021e-35
19.97,32,2720000.0,2.411568372451529e-35
19.98,32,2720000.0,2.1743460008796995e-35
19.990000000000002,32,2720000.0,1.9603378267224395e-35
20.0,32,2720000.0,1.7672841319138995e-35
20.01,32,2720000.0,1.5931439828459942e-35
20.02,32,2720000.0,1.436074163608058e-35
20.03,32,2720000.0,1.2944101264487166e-35
20.04,32,2720000.0,1.166648767400312e-35
20.05,32,2720000.0,1.0514328531849183e-35
20.06,32,2720000.0,9.475369419911574e-36
20.07,32,2720000.0,8.538546556302792e-36
20.080000000000002,32,2720000.0,7.693871740926553e-36
20.09,32,2720000.0,6.932328357650284e-36
20.1,32,2720000.0,6.245777376537883e-36
20.11,32,2720000.0,5.626872399979552e-36
20.12,32,2720000.0,5.068982887447371e-36
20.13,32,2720000.0,4.566124775929211e-36
20.14,32,2720000.0,4.1128977876035e-36
20.150000000000002,32,2720000.0,3.704428783805963e-36
20.16,32,2720000.0,3.336320585410457e-36
20.17,32,2720000.0,3.004605735050841e-36
20.18,32,2720000.0,2.7057047266626775e-36
20.19,32,2720000.0,2.436388273126773e-36
20.2,32,2720000.0,2.1937432238066535e-36
20.21,32,2720000.0,1.975141780875948e-36
20.22,32,2720000.0,1.7782136969215097e-36
20.23,32,2720000.0,1.60082116669271e-36
20.240000000000002,32,2720000.0,1.441036153366095e-36
20.25,32,2720000.0,1.297119914576864e-36
20.26,32,2720000.0,1.1675045159717175e-36
20.27,32,2720000.0,1.0507761404082481e-36
20.28,32,2720000.0,9.456600193381387e-37
20.29,32,2720000.0,8.510068295819932e-37
20.3,32,2720000.0,7.65780413767295e-37
20.31,32,2720000.0,6.89046696336784e-37
20.32,32,2720000.0,6.19963679358078e-37
20.330000000000002,32,2720000.0,5.577724135151603e-37
20.34,32,2720000.0,5.017888497409147e-37
20.35,32,2720000.0,4.513964860652672e-37
20.36,32,2720000.0,4.060397324941157e-37
20.37,32,2720000.0,3.652179241838292e-37
20.38,32,2720000.0,3.284799199122588e-37
20.39,32,2720000.0,2.954192289345419e-37
20.400000000000002,32,2720000.0,2.6566961481606978e-37
20.41,32,2720000.0,2.3890112980849193e-37
20.42,32,2720000.0,2.1481653783042133e-37
20.43,32,2720000.0,1.9314808817727704e-37
20.44,32,2720000.0,1.7365460575570556e-37
20.45,32,2720000.0,1.5611886695597907e-37
20.46,32,2720000.0,1.4034523327273446e-37
20.47,32,2720000.0,1.2615751749313833e-37
20.48,32,2720000.0,1.1339705971789462e-37
20.490000000000002,32,2720000.0,1.0192099269093885e-37
20.5,32,2720000.0,9.160067791032303e-38
20.51,32,2720000.0,8.232029579607235e-38
20.52,32,2720000.0,7.397557481982539e-38
20.53,32,2720000.0,6.647264597202474e-38
20.54,32,2720000.0,5.972701027107428e-38
20.55,32,2720000.0,5.366260821845614e-38
20.56,32,2720000.0,4.821098118718659e-38
20.57,32,2720000.0,4.331051570898416e-38
20.580000000000002,32,2720000.0,3.8905762508715987e-38
20.59,32,2720000.0,3.49468229318119e-38
20.6,32,2720000.0,3.1388796130124844e-38
20.61,32,2720000.0,2.8191281021282374e-38
20.62,32,2720000.0,2.5317927623027257e-38
20.63,32,2720000.0,2.273603289321085e-38
20.64,32,2720000.0,2.0416176683828405e-38
20.650000000000002,32,2720000.0,1.8331893848444018e-38
20.66,32,2720000.0,1.645937893139242e-38
20.67,32,2720000.0,1.4777220218056552e-38
20.68,32,2720000.0,1.3266160242240008e-38
20.69,32,2720000.0,1.1908880132313253e-38
20.7,32,2720000.0,1.0689805435596248e-38
20.71,32,2720000.0,9.594931292917393e-39
20.72,32,2720000.0,8.61166504504753e-39
20.73,32,2720000.0,7.728684541859233e-39
20.740000000000002,32,2720000.0,6.935810595695407e-39
20.75,32,2720000.0,6.223892174290287e-39
20.76,32,2720000.0,5.584703067360548e-39
20.77,32,2720000.0,5.0108488861002615e-39
20.78,32,2720000.0,4.495683367647374e-39
20.79,32,2720000.0,4.033233058312237e-39
20.8,32,2720000.0,3.618129541067362e-39
20.81,32,2720000.0,3.245548455486469e-39
20.82,32,2720000.0,2.9111546328406503e-39
20.830000000000002,32,2720000.0,2.611052736252713e-39
20.84,32,2720000.0,2.3417428563544054e-39
20.85,32,2720000.0,2.1000805674744297e-39
20.86,32,2720000.0,1.8832409985616484e-39
20.87,32,2720000.0,1.6886865173775737e-39
20.88,32,2720000.0,1.5141376664247686e-39
20.89,32,2720000.0,1.3575470250695267e-39
20.900000000000002,32,2720000.0,1.2170757047369777e-39
20.91,32,2720000.0,1.091072213270547e-39
20.92,32,2720000.0,9.780534508604333e-40
20.93,32,2720000.0,8.766876236533846e-40
20.94,32,2720000.0,7.857788825057062e-40
20.95,32,2720000.0,7.042535135757705e-40
20.96,32,2720000.0,6.311475247708924e-40
20.97,32,2720000.0,5.655954876642475e-40
20.98,32,2720000.0,5.068205085424527e-40
20.990000000000002,32,2720000.0,4.5412521489512045e-40
21.0,32,2720000.0,4.068836550447134e-40
21.01,32,2720000.0,3.6453401887057543e-40
21.02,32,2720000.0,3.2657209681124397e-40
21.03,32,2720000.0,2.92545402640446e-40
21.04,32,2720000.0,2.620478929922252e-40
21.05,32,2720000.0,2.347152233448735e-40
21.06,32,2720000.0,2.1022048623317926e-40
21.07,32,2720000.0,1.882703829135429e-40
21.080000000000002,32,2720000.0,1.6860178461467252e-40
