"Ang et al. 1985, Spec. 10"	
-39.225	-170.46
-38.738	-153.9
-37.762	-134.42
-36.439	-109.09
-34.976	-81.821
-33.513	-57.471
-32.05	-41.884
-30.236	-25.326
-28.217	-12.663
-25.778	0
-22.573	7.7924
-20.135	10.714
-17.557	13.637
-15.119	15.585
-12.889	15.585
-10.451	19.481
-8.2908	21.429
-5.7828	23.377
-3.4836	26.3
-0.83607	29.222
1.9508	34.092
4.8072	39.936
7.3155	42.859
10.172	46.755
13.516	53.574
16.094	56.497
18.881	59.419
21.319	61.368
23.967	62.342
26.614	63.312
28.705	56.497
30.864	45.781
32.187	43.832
33.513	36.04
34.277	23.377
34.765	6.8182
35.253	-7.7924
35.672	-17.533
