x_m,z_m
22.650000,-5.400227291633e-05
22.700000,-1.513296229235e-05
22.750000,1.816815914280e-05
22.800000,1.652417891501e-05
22.850000,9.750380802940e-06
22.900000,1.922630143298e-05
22.950000,6.242862670721e-06
23.000000,-4.151047645303e-05
23.050000,-5.937607768233e-05
23.100000,-6.444889605792e-05
23.150000,-7.568947086317e-05
23.200000,-6.068887649025e-05
23.250000,-8.779262379638e-05
23.300000,-1.322894508775e-04
23.350000,-1.150186006324e-04
23.400000,-9.818871562408e-05
23.450000,-7.413862091039e-05
23.500000,-5.285821031218e-05
23.550000,-9.892736025615e-05
23.600000,-1.271324773753e-04
23.650000,-1.296472253957e-04
23.700000,-1.438132899950e-04
23.750000,-1.100184622838e-04
23.800000,-1.065956468929e-04
23.850000,-1.618023264161e-04
23.900000,-1.589258906052e-04
23.950000,-1.412354136018e-04
24.000000,-1.601463436912e-04
24.050000,-1.690119665686e-04
24.100000,-1.673203906019e-04
24.150000,-1.492302228437e-04
24.200000,-1.435424347464e-04
24.250000,-1.593949876503e-04
24.300000,-1.441624484369e-04
24.350000,-1.469566319401e-04
24.400000,-1.672148901709e-04
24.450000,-1.451274626527e-04
24.500000,-1.297363218477e-04
24.550000,-1.231598329858e-04
24.600000,-1.314876673446e-04
24.650000,-1.603099493685e-04
24.700000,-1.297231039573e-04
24.750000,-1.129188292941e-04
24.800000,-1.592199363430e-04
24.850000,-1.616071982058e-04
24.900000,-1.481496590875e-04
24.950000,-1.589155179279e-04
25.000000,-1.565760690585e-04
25.050000,-1.484770234820e-04
25.100000,-1.271956486226e-04
25.150000,-9.732594285433e-05
25.200000,-7.373814573513e-05
25.250000,-4.742709984880e-05
25.300000,-3.021305758101e-05
25.350000,-3.130164824140e-05
25.400000,-2.618022978379e-05
25.450000,2.577408185025e-05
25.500000,8.280756513580e-05
25.550000,7.636412812746e-05
25.600000,6.711596037904e-05
25.650000,8.812917002645e-05
25.700000,8.153811117890e-05
25.750000,7.303761345663e-05
25.800000,8.714796316604e-05
25.850000,7.042061873505e-05
25.900000,4.488777657673e-05
25.950000,5.498945452533e-05
26.000000,6.009493258998e-05
26.050000,7.115145661430e-05
26.100000,1.091747338646e-04
26.150000,1.120824292685e-04
26.200000,8.914580726628e-05
26.250000,9.004887353894e-05
26.300000,1.125643420356e-04
26.350000,1.400160392586e-04
26.400000,1.411553156086e-04
26.450000,1.445821317999e-04
26.500000,1.764777592692e-04
26.550000,1.846260057690e-04
26.600000,1.718267017007e-04
26.650000,1.639357475330e-04
26.700000,1.654414421619e-04
26.750000,1.797169345576e-04
26.800000,1.659814001963e-04
26.850000,1.333272237967e-04
26.900000,1.174845439083e-04
26.950000,1.035518274659e-04
27.000000,1.150811639167e-04
27.050000,1.377518880549e-04
27.100000,1.247311773832e-04
27.150000,1.294378970529e-04
27.200000,1.430497263110e-04
27.250000,1.019572406127e-04
27.300000,7.677075946198e-05
27.350000,9.595635377279e-05
27.400000,8.198618261093e-05
27.450000,3.264658829845e-05
27.500000,-1.072449786627e-06
27.550000,1.614140644926e-05
27.600000,4.777388918671e-05
27.650000,2.966105248000e-05
27.700000,2.058131095066e-05
27.750000,5.484306822002e-05
27.800000,4.723330998337e-05
27.850000,9.069658934876e-06
27.900000,1.040998438799e-05
27.950000,2.141889338883e-05
28.000000,2.147941291879e-05
28.050000,2.413964235043e-05
28.100000,-2.005463389119e-06
28.150000,-4.097929255815e-05
28.200000,-5.610171377337e-05
28.250000,-7.021341708000e-05
28.300000,-8.367314931195e-05
28.350000,-9.756809428484e-05
28.400000,-9.722568761950e-05
28.450000,-5.963782378157e-05
28.500000,-4.088045378039e-05
28.550000,-3.494737879059e-05
28.600000,-1.668131059221e-05
28.650000,-1.440589441976e-05
